Fuel Cell,Current (A),Test Hour,R_ohmic (Ohm),R_ct_anode (Ohm),R_ct_cathode (Ohm),R_ct_total (Ohm),Circle Center Real (Ohm),Circle Center Imag (Ohm),Circle Radius (Ohm)
FC1,70,185,0.004613756894281802,0.0049459431057181985,0.007488512822430661,0.01243445592814886,0.010830984858356232,-0.0034497110403842674,0.0071101638391402894
FC1,70,348,0.004704129946266131,0.0053638700537338695,0.007212380027293089,0.012576250081026958,0.010992254986779611,-0.00331460381914741,0.007108242750711265
FC1,70,515,0.004651185564611102,0.005826814435388897,0.007074976661947062,0.012901791097335958,0.011102081113279082,-0.003488989034976797,0.007333968766364681
FC1,70,658,0.004748358146550766,0.005101241853449234,0.008298156401004567,0.013399398254453802,0.011448057273777667,-0.0036109580841491816,0.007610846646782947
FC1,70,823,0.004793293972555005,0.005568706027444995,0.008100465626688442,0.013669171654133436,0.011627879799621724,-0.003507198798533538,0.0076819272868191325
FC1,70,991,0.004724451307362838,0.004657448692637163,0.00801238963322127,0.012669838325858433,0.011059370470292054,-0.0034617627811544356,0.007219072125545907
FC2,20,0,0.004503042806585828,0.007605957193414172,0.010513159573972546,0.018119116767386718,0.013562601190279187,-0.0035963232659559667,0.009747263161565139
FC2,20,35,0.004566847128960768,0.007547152871039232,0.01002145122408131,0.01756860409512054,0.013351149176521039,-0.0031935742443904495,0.00934681116302269
FC2,20,182,0.004599688009497834,0.007863311990502166,0.010031894683413244,0.01789520667391541,0.013547291346455539,-0.003320321509571752,0.00954380115061402
FC2,20,343,0.0045156362598650565,0.008058363740134944,0.00972504801722762,0.017783411757362564,0.013407342138546339,-0.003295092893794389,0.00948261939612202
FC2,20,515,0.004552876519017911,0.008543123480982089,0.011449379373491188,0.01999250285447328,0.014549127946254549,-0.004398725313314426,0.010921255741833153
FC2,20,666,0.0046333311764211165,0.008166668823578884,0.010824676821343712,0.018991345644922594,0.014129003998882415,-0.0038964720245700025,0.010264029257045539
FC2,20,830,0.004670408886638914,0.007329591113361086,0.011295133538495278,0.018624724651856363,0.013982771212567096,-0.003651639685979718,0.010002727852220542
FC2,20,1016,0.004676114990793257,0.008423885009206744,0.01082815787616278,0.019252042885369525,0.014302136433478017,-0.0038284049459254956,0.010359390582703869
FC2,45,0,0.0043290751555522715,0.005148924844447729,0.0069048187522146864,0.012053743596662416,0.010355946953883479,-0.0030069524647175073,0.006735350532718452
FC2,45,35,0.0043932738579846465,0.004762726142015353,0.0072029690113953725,0.011965695153410725,0.01037612143469001,-0.0028965619169964932,0.006647144955925337
FC2,45,182,0.004466205144719246,0.006436794855280753,0.00574381580307377,0.012180610658354523,0.010556510473896507,-0.0029361126346131,0.006761107631574846
FC2,45,343,0.004401021692880314,0.005313678307119686,0.007135366561219464,0.01244904486833915,0.010625544127049889,-0.0031129673345144807,0.00695954345910955
FC2,45,515,0.004505798688754079,0.004973001311245922,0.008095408810525439,0.01306841012177136,0.01104000374963976,-0.0033078021968625418,0.007323755262928486
FC2,45,666,0.004579543541374009,0.005290456458625991,0.007591040600812251,0.012881497059438241,0.01102029207109313,-0.003120870059161141,0.007157029519936849
FC2,45,830,0.0045695510445902835,0.0053904489554097166,0.007682451775878889,0.013072900731288604,0.011106001410234587,-0.0032603598345040956,0.007304459571589066
FC2,45,1016,0.00455492799569086,0.0064450720043091395,0.007433139452824429,0.013878211457133569,0.011494033724257644,-0.0034576334173178095,0.007752832847468156
FC2,70,0,0.004301882435827265,0.003990617564172735,0.007869229275133368,0.011859846839306102,0.010231805855480317,-0.003399860866830669,0.006835425786061636
FC2,70,182,0.004437312020675767,0.0059246879793242325,0.006795349339130497,0.01272003731845473,0.010797330679903133,-0.003487964284175811,0.007253670256732542
FC2,70,343,0.004416990627691597,0.005993009372308404,0.006934794575765861,0.012927803948074267,0.010880892601728729,-0.0035247227732035117,0.00736245199358886
FC2,70,515,0.004497632034345163,0.005337467965654837,0.008356583381867302,0.013694051347522138,0.011344657708106233,-0.003628195464109145,0.007748907207014768
FC2,70,666,0.004592290066993294,0.005345909933006705,0.007509158663568291,0.012855068596574995,0.011019824365280793,-0.003257521475619804,0.007205875610901592
FC2,70,830,0.004564087963927033,0.005835912036072966,0.00824424757482535,0.014080159610898316,0.011604167769376192,-0.003669501915796556,0.007939015554659637
FC2,70,1016,0.004546676013057014,0.0059533239869429865,0.009280582636817023,0.01523390662376001,0.012163629324937019,-0.003855774542520852,0.008537269767209634
